Hobby,Country,Student,FormalEducation,UndergradMajor,DevType,YearsCoding,HoursComputer,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Dependents,Continent,Age,ConvertedSalary,HDI,GDP,GINI
1,6,1,1,2,2,2,2,1,1,1,1,1,2,4,3,9396,2,3,2
1,6,1,1,2,2,4,1,3,4,1,2,1,2,4,3,936,2,3,2
1,2,1,1,3,2,6,2,3,1,1,4,1,2,2,4,110000,1,2,2
1,6,1,1,2,2,2,3,3,1,1,1,3,2,4,2,7608,2,3,2
2,2,1,1,1,4,10,1,1,1,1,5,1,2,2,4,105000,1,2,2
1,19,1,0,1,5,10,1,2,1,1,3,1,2,1,3,104269,1,1,3
1,6,1,1,2,2,7,2,1,1,1,9,1,2,4,3,11647,2,3,2
1,9,1,1,2,2,2,2,1,1,1,4,1,2,1,3,46992,1,1,1
1,9,2,0,2,2,2,2,3,1,1,2,1,2,1,2,19092,1,1,1
2,2,1,1,2,10,7,3,3,1,1,4,1,2,2,3,55000,1,2,2
1,6,1,1,2,2,3,2,3,1,1,1,1,2,4,1,6384,2,3,2
1,2,1,1,2,3,3,1,1,1,3,3,1,2,2,3,150150,1,2,2
1,6,1,1,2,2,2,1,1,1,1,1,1,2,4,3,9396,2,3,2
1,2,1,1,1,2,4,1,3,1,1,1,1,2,2,3,63000,1,2,2
1,2,1,1,2,8,1,2,3,1,1,7,3,1,2,4,127000,1,2,2
1,10,1,1,3,9,2,2,2,1,1,4,1,2,1,2,41612,1,1,1
1,6,2,0,2,2,7,5,2,1,2,1,2,1,4,2,7827,2,3,2
1,1,1,1,2,2,3,2,2,4,2,8,1,2,1,3,84731,1,1,1
1,5,1,1,2,2,6,3,1,1,1,3,1,2,3,3,79973,1,1,1
1,2,1,1,2,2,5,2,4,1,1,3,1,1,2,1,130000,1,2,2
1,20,2,1,2,2,3,2,2,1,1,3,1,2,1,3,49932,1,1,3
2,6,1,1,2,2,2,2,4,1,1,1,1,2,4,3,32874,2,3,2
2,10,2,1,2,2,8,2,4,1,1,1,1,2,1,2,79552,1,1,1
2,6,1,1,1,2,7,2,3,1,1,5,1,1,4,3,7512,2,3,2
1,6,2,1,2,2,7,2,2,1,1,3,3,2,4,2,1884,2,3,2
1,9,1,1,2,2,3,3,3,1,1,2,1,2,1,3,61194,1,1,1
2,1,1,1,2,2,5,2,4,1,2,1,1,2,1,1,104178,1,1,1
1,7,1,1,2,2,2,2,4,1,1,3,1,2,1,3,10584,2,3,1
1,9,1,0,1,4,2,2,3,1,1,1,3,1,1,3,68537,1,1,1
1,2,1,1,2,2,7,2,3,1,1,3,3,1,2,3,85000,1,2,2
1,1,1,1,2,2,3,1,1,1,1,9,3,2,1,3,61118,1,1,1
1,2,1,1,2,10,2,3,3,1,1,3,1,2,2,3,175000,1,2,2
1,2,1,1,2,4,2,1,2,1,1,5,2,2,2,3,58000,1,2,2
1,2,2,0,2,14,4,1,4,1,1,4,1,2,2,2,30000,1,2,2
1,18,2,1,2,1,2,3,3,1,1,1,1,2,1,2,30840,1,1,3
1,2,1,1,2,2,5,3,4,1,1,3,1,2,2,3,125000,1,2,2
1,9,1,0,3,5,8,2,4,1,1,3,1,1,1,3,110149,1,1,1
1,14,1,0,2,2,11,2,4,1,1,5,3,2,2,1,108704,1,1,1
1,2,1,1,3,2,6,2,3,1,1,1,2,1,2,1,200000,1,2,2
2,2,1,1,2,6,10,1,4,1,1,3,1,1,2,1,140000,1,2,2
1,11,2,0,3,2,2,3,1,1,1,2,1,2,1,2,25400,1,1,1
1,2,1,1,2,2,1,2,3,1,1,3,1,2,2,5,142000,1,2,2
2,2,1,1,2,2,2,1,3,1,1,3,3,1,2,3,88000,1,2,2
1,13,1,1,3,8,8,1,2,1,1,7,2,2,5,3,29940,3,3,2
1,9,2,0,2,2,7,1,3,1,1,2,1,2,1,3,17628,1,1,1
1,5,2,1,2,2,3,2,4,1,1,9,3,1,3,3,107964,1,1,1
1,2,2,0,2,2,7,1,3,1,1,2,2,2,2,2,2000000,1,2,2
2,2,1,1,2,4,3,1,2,1,1,3,1,2,2,2,110000,1,2,2
1,9,1,1,2,2,3,2,1,1,1,1,1,2,1,1,616836,1,1,1
